"GRID_G0","woodland","maskWdl","cropland","maskCrp","one","maskOne"
"424547",0,0,0,0,0,0
"312642",1,1,0,0,0,0
"243105",0,0,0,0,0,0
"234558",1,1,0,0,0,0
"221020",0,0,0,0,1,1
"281494",0,0,0,0,1,1
"387642",0,0,0,0,0.670807760116994,1
"359591",0,0,1,1,0,0
"233256",1,1,0,0,0,0
"77899",0.881237598351104,1,0,0,0.0459080825476146,0
"431119",0,0,0,0,0,0
"239855",0,0,0,0,0,0
"211286",0,0,0,0,0.952399178322354,1
"217197",1,1,0,0,0,0
"375187",0,0,1,1,0,0
"73354",0,0,0,0,0,0
"241029",1,1,0,0,0,0
"36298",0,0,0,0,0,0
"270993",1,1,0,0,0,0
"360240",0,0,0.989558587670092,1,0.0104414123299078,0
"274994",0,0,0,0,1,1
"231447",0,0,0,0,0,0
"252883",0,0,0,0,0.974841243840539,1
"273055",0,0,0,0,1,1
"88951",0.800948413179473,1,0,0,0,0
"285950",1,1,0,0,0,0
"235206",0.97281081156522,1,0,0,0.0271891884347803,0
"253560",0,0,0,0,1,1
"220249",1,1,0,0,0,0
"273047",0,0,0,0,1,1
"363494",0,0,1,1,0,0
"307994",0,0,0,0,0,0
"267738",1,1,0,0,0,0
"355139",0,0,0,0,1,1
"416221",0,0,0,0,1,1
"221669",0,0,0,0,0.879378626948731,1
"326889",1,1,0,0,0,0
"251588",0,0,0,0,1,1
"295095",1,1,0,0,0,0
"394668",0.907731489333369,1,0,0,0.0714425539021504,0
"322377",0,0,0,0,0,0
"251589",0,0,0,0,1,1
"255332",0.961071723670047,1,0.0159890584070153,0,0.0229392179229376,0
"303428",0,0,0,0,1,1
"305371",0,0,0,0,0.00278986548316477,0
"225575",0.00764114143370737,0,0.191777367703188,0,0.295906258476891,0
"305370",0,0,0,0,1,1
"221547",0.525360190865329,1,0,0,0.474639809134671,1
"25915",0.965742454007945,1,0,0,0,0
"396103",0,0,0,0,0,0
"304920",0,0,0,0,1,1
"68146",0,0,0,0,0,0
"419447",0,0,0,0,0,0
"361635",0,0,0,0,1,1
"365452",0.192788672998247,0,0,0,0.287871788807822,0
"420791",0,0,0,0,1,1
"242961",0.654922648764732,1,0.158055546221806,0,0,0
"98701",0.0713044730806307,0,0.0609195465978216,0,0.225993063788767,0
"99349",0.510909443992839,1,0,0,0.430344229603131,1
"243662",0.869133942242275,1,0,0,0.130866057757725,0
"299689",0,0,0,0,1,1
"426499",0,0,0,0,0.995993397118451,1
"60995",1,1,0,0,0,0
"429823",0,0,0,0,0.956316806909005,1
"256034",1,1,0,0,0,0
"230796",0,0,0,0,0,0
"235815",0.525501564924154,1,0.444311643028886,0,0.0301867920469603,0
"5766",0,0,0,0,0,0
"297085",0,0,0,0,1,1
"435624",0,0,0,0,0,0
"313286",0.48282908603852,1,0,0,0.327412240762316,0
"430471",0,0,0,0,0.208979051418142,0
"357093",0,0,0,0,1,1
"370094",0,0,0,0,1,1
"26565",0.191679275272353,0,0,0,0.0858933236921272,0
"420161",0,0,0,0,0.442816624887448,1
"381671",0,0,0,0,0,0
"243012",0.891602830590092,1,0.0756997411672581,0,0.0326974282426501,0
"69441",0.703368077778104,1,0,0,0.00452303468489148,0
"304738",0,0,0,0,0,0
"304081",0,0,0,0,0.562950979297643,1
"422100",0,0,0,0,0.97657513663552,1
"4473",0.0519414570248583,0,0,0,0.00221267575560111,0
"80504",0.716287355501795,1,0,0,0,0
"238414",0.683264185429607,1,0.310670208980331,0,0.00606560559006211,0
"353198",0,0,0,0,0.793474494537895,1
"251590",0,0,0,0,0.887069819450268,1
"324933",0.889671466143628,1,0,0,0.110328533856372,0
"393490",0,0,0,0,1,1
"232089",0,0,0,0,0,0
"405074",0,0,0,0,0.654159871716332,1
"415565",0,0,0,0,1,1
"60984",0.827549506809817,1,0,0,0.138925687972929,0
"238461",0.795330188527154,1,0,0,0.204669811472846,0
"289208",1,1,0,0,0,0
"262490",0.484522090062116,1,0.436047488066403,0,0,0
"16809",0.852821250621215,1,0,0,0.0819646817376542,0
"287980",0,0,0,0,1,1
"295744",1,1,0,0,0,0
"393492",0,0,0,0,1,1
"409630",0,0,0,0,1,1
"403264",0,0,0,0,1,1
"324958",0.98624411853652,1,0,0,0.0137558814634798,0
"436304",0,0,0,0,0.188253748454588,0
"7067",0.000715531995664563,0,0,0,0.00848167527725854,0
"313856",0.315155465590256,0,0,0,0.684844534409744,1
"310135",0,0,0,0,1,1
"7721",0,0,0,0,0,0
"252131",0.926399685525918,1,0.00737495176012544,0,0.0662253627139562,0
"78550",0.857163675398914,1,0,0,0,0
"317114",0,0,0,0,0.0191853038629267,0
"70747",0.379422926539663,0,0.00240200986738838,0,0,0
"319899",0,0,0.280266555739062,0,0.719733444260938,1
"364147",0.0940842686669007,0,0.905915731333099,1,0,0
"323676",0,0,0,0,0.251425638855831,0
"242451",0,0,0,0,0,0
"239207",0,0,0,0,0,0
"222856",0.939503513244501,1,0,0,0.00770684619387342,0
"317182",0.233770305909438,0,0,0,0.766229694090562,1
"249465",0.720699592818633,1,0.220225876042769,0,0.0573997004941667,0
"231426",0.136026409413369,0,0.0248542475909133,0,0.251515221451346,0
"233396",0,0,0,0,0,0
"273696",0,0,0.357223506765888,0,0.642776493234112,1
"306232",0,0,0,0,1,1
"311904",0.814013591506857,1,0,0,0.185986408493144,0
"405866",0,0,0,0,1,1
"218496",0,0,0,0,0,0
"81151",0.955019343779131,1,0,0,0,0
"254863",0,0,0.212964923100985,0,0.787035076899015,1
"415564",0,0,0,0,1,1
"416920",0,0,0,0,0.961323264316492,1
"217775",0.0974160803901802,0,0.0850259866461586,0,0.808268532878224,1
"371396",0,0,0,0,0.758778430850429,1
"230134",0,0,0,0,0,0
"92847",0.836514566543741,1,0,0,0.0274126507877393,0
"354391",0,0,1,1,0,0
"282144",0,0,0.000676683843158219,0,0.999323316156842,1
"265084",1,1,0,0,0,0
"404423",0.0381454174837137,0,0,0,0.961854582516286,1
"232088",0,0,0.0234020666499495,0,0.031651205939354,0
"369430",0,0,0,0,0.945058119948977,1
"415562",0,0,0,0,0.837859218386371,1
"434979",0,0,0,0,0.285604661341701,0
"60341",0.667482503556753,1,0,0,0.0997083856646243,0
"419360",0,0,0,0,1,1
"288557",1,1,0,0,0,0
"307345",0,0,0,0,0.228076952169213,0
"303593",0,0,0,0,1,1
"251591",0,0,0,0,0.981089605881525,1
"80503",0.726741910509948,1,0.0152840748775236,0,0.0171259140187066,0
"289750",1,1,0,0,0,0
"11614",0.10069084586741,0,0.00118424291380127,0,0.53742998089757,1
"386340",0,0,0,0,0.605949980705044,1
"233368",0,0,0,0,0.898715015706918,1
"287906",0.986237050917618,1,0,0,0.0137629490823818,0
"423342",0,0,0,0,0,0
"415470",0.0281874017784783,0,0,0,0.971812598221522,1
"79852",0.869493760475987,1,0,0,0.00166011015384241,0
"407167",0,0,0,0,1,1
"254198",0,0,0,0,1,1
"239761",0.540133478880364,1,0.0941305954281093,0,0.301105513055899,0
"376484",0.000416052098204067,0,0.589975391534649,1,0.407879227008994,1
"61645",0.895362866532677,1,0.0144059777232321,0,0.0448337151641464,0
"410925",0,0,0,0,1,1
"327061",0,0,0.611769710323836,1,0.388230289676164,1
"436301",0,0,0,0,1,1
"10966",0.00355069054590599,0,0.001014483013116,0,0.00741967513717712,0
"86345",0.836045212657244,1,0.00480877089786227,0,0.0145086199938134,0
"410418",0,0,0,0,1,1
"326888",0.0525385753789579,0,0,0,0.348305139918767,1
"20706",0.951847778059526,1,0.00251172354499798,0,0.00136519207496566,0
"236511",0.292611989117022,0,0.0259706590743522,0,0.681417351808626,1
"410278",0,0,0,0,0.899543509393524,1
"252242",0,0,0,0,0.360837566943973,1
"290424",0.378768820975068,0,0.344377082518681,0,0.276854096506251,0
"261362",0,0,0.387149747421195,0,0.612850252578805,1
"265705",0.443994272945498,1,0.533302238910559,0,0.0227034881439433,0
"226887",0.00857242890298176,0,0.0252077234877333,0,0.344875311765704,1
"400003",0,0,0,0,0.963919652789413,1
"241155",0.30106776111516,0,0,0,0.502618200259958,1
"371386",0,0,0,0,0.931283227849581,1
"228691",1,1,0,0,0,0
"237118",0.377801301759223,0,0.620565153730287,1,0.00130581150395656,0
"419446",0,0,0,0,0.80124665966654,1
"272295",0.99958561418194,1,0,0,0.000414385818059763,0
"248222",1,1,0,0,0,0
"228189",0,0,0,0,0,0
"210637",0.336462354313099,0,0.157137275522181,0,0.497338499926844,1
"77243",0.64623545820974,1,0.0635937549725488,0,0.0635023204313182,0
"298990",0.585396202420628,1,0,0,0.414603797579372,1
"60994",0.999578514426555,1,0,0,0,0
"328219",0,0,0,0,0.175264366858764,0
"286036",0,0,0,0,1,1
"226888",0.46010171834486,1,0,0,0,0
"230779",0.354204471951705,0,0.149450616832939,0,0.473479080317986,1
"242452",0,0,0.0260920015202949,0,0.100794208039644,0
"293180",0,0,0,0,1,1
"320551",0,0,0.752526687654096,1,0.234561076818698,0
"370005",0.042678640595636,0,0.932790107162839,1,0.0245312522415252,0
"321027",0.781329846785778,1,0.000718480743728157,0,0.217951672470494,0
"375190",0.52942567011653,1,0.332243284637498,0,0.138331045245973,0
"252234",0,0,0,0,0.979742201360333,1
"377779",0.129666434331829,0,0.663719920665036,1,0.117850880200662,0
"223051",0.0524476209406982,0,0.328575463596801,0,0.0341775519510573,0
"406380",0,0,0,0,0.947013354025852,1
"220371",0.0944082249959558,0,0.0288867474723316,0,0.809034715525201,1
"252874",0,0,0,0,0,0
"324297",1,1,0,0,0,0
"337476",0,0,0.516420485491455,0,0.477579702502655,1
"248213",0.999319355157076,1,0,0,0.000680644842924186,0
"100001",0.763778394786437,1,0,0,0,0
"236467",0.614846918126727,1,0.334769941651188,0,0,0
"317112",0,0,0,0,0.00063731119655802,0
"371944",0.00150126256181449,0,0.996396969851645,1,0.00210176758654028,0
"315158",0.000622228661407716,0,0,0,0.852523266852979,1
"313276",0.274497629542341,0,0,0,0.725502370457659,1
"223047",0,0,0,0,0,0
"421947",0,0,0,0,0.70724933930932,1
"56443",0.829294998419856,1,0.00194391603782331,0,0.0944557231343299,0
"324282",0.276034511520021,0,0,0,0.723132825174863,1
"431709",0,0,0,0,0.0377384355331402,0
"393494",0,0,0,0,1,1
"236610",0.102781559557075,0,0.00529108149981401,0,0.762906443859678,1
"309295",0,0,0,0,0.761795749059159,1
"305385",0,0,0,0,0.72336623108304,1
"434323",0,0,0,0,0.341177160018428,0
"373894",0,0,0.3105816127342,0,0.438948692722707,1
"251586",0,0,0,0,1,1
"265701",0.812149340728378,1,0.186009629378347,0,0.00184102989327513,0
"233906",0.76984170788336,1,0.0651646537291406,0,0.147015363694205,0
"227528",0.71299837987595,1,0,0,0,0
"219796",0.346923657111143,0,0.017510888774624,0,0.00527410017576633,0
"370088",0,0,0,0,0.875017176616586,1
"355692",0.00169744213075928,0,0.998302557869241,1,0,0
"223617",0.000616379004983963,0,0.0569940132431512,0,0.889562273029498,1
"251587",0,0,0.159370764907266,0,0.828438066859771,1
"224273",0.800306335721786,1,0,0,0,0
"418865",0,0,0,0,0.929942741580528,1
"290416",1,1,0,0,0,0
"96104",0.952887714274155,1,0.00450755900587453,0,0.0198707122529916,0
"289087",1,1,0,0,0,0
"265704",0.888017599683132,1,0.0939073405298725,0,0.0180750597869953,0
"418060",0,0,0,0,0.825579081154922,1
"375836",0.0204144319587615,0,0.924408188859144,1,0.0551773791820948,0
"88944",0.921388943390351,1,0.00159184010580866,0,0.0557435999248362,0
"572",0.787680407710051,1,0.0112329196436244,0,0.0967814315345123,0
"244279",1,1,0,0,0,0
"71397",0.741772525564488,1,0,0,0.0158239695976196,0
"235169",0.559796281052138,1,0.439690831365127,0,0.000512887582735178,0
"240505",0,0,0,0,1.94541696884142e-05,0
"94804",0.903343672865488,1,0.00233284994481058,0,0.0636990159110957,0
"253554",0,0,0,0,1,1
"368132",0,0,0,0,0.95974588277062,1
"411573",0,0,0,0,0.905090979033079,1
"359687",0,0,0,0,0.999325981327627,1
"23966",0.598385319879707,1,0,0,0.00810169109626373,0
"420647",0,0,0,0,0.853830065732322,1
"79853",0.80897666304465,1,0,0,0,0
"222397",0.0102394127091972,0,0.0323067758527788,0,0.153583713485421,0
"330964",0,0,0.949953390701783,1,0.050046609298217,0
"335518",0,0,0.826897253144542,1,0.173102746855458,0
"289756",0.24820539474122,0,0.418948046144038,0,0.262109258031999,0
"237908",0.0423573262102126,0,0,0,0.588532784095469,1
"2518",0,0,0,0,0,0
"64245",0.792654278527183,1,0,0,0.00742061659586667,0
"226218",0.472868356655301,1,0.049718216850883,0,0.422976240603543,1
"239856",0,0,0,0,0.136635010630758,0
"237161",0.668535225003233,1,0.00156620731868006,0,0.329217801351415,0
"63596",0.86627911694404,1,0,0,0.0289205500134243,0
"229341",0.976180470623771,1,0.00275350933983459,0,0.0201698558275665,0
"304070",0.000212312301771081,0,0,0,0.761521763992513,1
"305497",0.618185485393765,1,0,0,0.3801266764716,1
"316459",0.0899747835967715,0,0,0,0.61344418537567,1
"309399",0,0,0,0,0.269333944900085,0
"215892",0,0,0,0,0,0
"317773",0.88141241453499,1,0,0,0.11858758546501,0
"224923",0.19746167407148,0,0.011103189281663,0,0.44840207526624,1
"437610",0,0,0,0,1,1
"267207",0.0323371952939182,0,0.0594090254785065,0,0.908253779227575,1
"226222",0.000827414561172413,0,0.0138591938996379,0,0.555868685999484,1
"25253",0.525581693459141,1,0,0,0.00683403923509894,0
"66195",0.732899750667803,1,0,0,0.0776369926399368,0
"415472",0.01637016712203,0,0,0,0.98362983287797,1
"228194",0.875637642635706,1,0,0,0,0
"248813",0.937020036198074,1,0.0547089789671639,0,0.00307516559875262,0
"408981",0,0,0,0,0.999464436532784,1
"244407",0,0,0,0,0,0
"68785",1,1,0,0,0,0
"78552",0.87386375136016,1,0,0,0,0
"225582",0.705920241581421,1,0.0031657993752132,0,0.251447787777935,0
"239857",0.241192117968317,0,0,0,0.00155724938446836,0
"18761",0.725531690424918,1,0,0,0.000206863310930037,0
"433675",0,0,0,0,0.251221451659508,0
"232720",0.454315039726309,1,0.0125682826586414,0,0.527991238551379,1
"324308",0.278172826337158,0,0,0,0.40314587680469,1
"433715",0,0,0,0,0.000394797737413354,0
"244406",0,0,0,0,0.000187069039699792,0
"223506",0.958673731977296,1,0.00188900894937427,0,0.0277828242911061,0
"263841",1,1,0,0,0,0
"79201",0.867850391131745,1,0.0119033309032326,0,0.00253677543839382,0
"378426",0.0206249608234902,0,0.536672632672608,0,0.108884847210738,0
"289929",0.00292432730481552,0,0,0,0.997075672695184,1
"323657",0.570546816943808,1,0,0,0.412575851121266,1
"68786",1,1,0,0,0,0
"89602",0.924681322025522,1,5.19326377950689e-06,0,6.15771894499908e-05,0
"364798",0.251699108168055,0,0.567932430238786,1,0.18036846159316,0
"325624",0,0,0,0,0.0597582981321425,0
"420803",0,0,0,0,0.000155312604683741,0
"80521",0.67690785132728,1,0,0,0.162199733781795,0
"219722",0.00866633460616754,0,0.0432762970344283,0,0.944656914772939,1
"67492",0.843467031476961,1,0,0,0.0107802523233344,0
"401817",0.401268357913494,1,0.000154414160396165,0,0.59857722792611,1
"98049",0.812234458243635,1,0.00289624731606119,0,0.14639036805167,0
"76593",0.562920980028099,1,0.0445938904661359,0,0.0574704352045714,0
"303614",0,0,0.00237558631219771,0,0.997624413687802,1
"61644",0.731277589265462,1,0.00411911868224669,0,0.0486639503565678,0
"91546",0.947181877053923,1,0.000572928798421594,0,0.00350221557934797,0
"304740",0,0,0,0,0.0106962149735741,0
"418710",0,0,0,0,0.991564002756963,1
"313934",0.928717612595139,1,0,0,0.071282387404861,0
"10316",0.489405228398086,1,0.00434486175779551,0,0.110945697396368,0
"416868",0,0,0,0,0.000770602133800842,0
"77248",0.910519597277282,1,0.00187838876589999,0,0.00152923128143176,0
"237259",0.739151131010665,1,0.00303498377881038,0,0.257015205268732,0
"370652",0.0204096733793873,0,0.896029787012143,1,0.0819582728963185,0
"429757",0,0,0,0,0.349104953557601,1
"435636",0,0,0,0,0.00199934797898204,0
"437607",0,0,0,0,0.982459364896526,1
"325610",0.550527951762195,1,0,0,0.449058344539362,1
"294445",1,1,0,0,0,0
"227527",0.838100931939168,1,0,0,0,0
"54489",0.970656236545796,1,8.35857626458554e-06,0,0.0257997286264209,0
"365449",0.00989077988418592,0,0.990109220115814,1,0,0
"372680",0,0,0,0,0.893173172989733,1
"366106",0.0720637389896782,0,0.927936261010322,1,0,0
"244312",0.816366130931971,1,0.0941556499728774,0,0.0894782190951518,0
"74002",0.746554231875834,1,0,0,0.0341408780171641,0
"99350",0.764563805730751,1,0.00413473287070175,0,0.19748090724968,0
"72704",0.919120327004518,1,0,0,0.00224771119783183,0
"381021",0.433595944032268,1,0.0319684798552028,0,0.0775098483959883,0
"96754",0.830553331609969,1,0.0166307865716281,0,0.0585727849041673,0
"54492",0.844777494191208,1,0.00154797080054858,0,0.0547311471718826,0
"284649",1,1,0,0,0,0
"218424",0.0420394742123449,0,0.0525394874006149,0,0.874406671200373,1
"257335",1,1,0,0,0,0
"414906",0,0,0,0,0.126896498733023,0
"9669",0.871284965274572,1,0,0,0.00240963290823997,0
"234524",0.639196667595214,1,0.234295139725532,0,0.027133692195624,0
"6422",0.548881896813472,1,0,0,0.00809760212765752,0
"244284",0.878418660031866,1,0,0,0.121581339968134,0
"289765",1,1,0,0,0,0
"270341",1,1,0,0,0,0
"224926",0.0286912157386992,0,0.0724672319121007,0,0.0646608147365078,0
"64895",0.823079188796634,1,0,0,0.0949504233249554,0
"265260",0,0,0.455092498155267,0,0.544907501844733,1
"224928",0.458802033397415,1,0.0684021703800615,0,0.209720786245548,0
"419999",0,0,0,0,0.30378396018465,0
"278150",0.854508899856877,1,0.000130467739894295,0,0.145360632403229,0
"19412",0.537499478693861,1,0,0,0.446386591491941,1
"21354",0.662709197399535,1,0.000523526345521035,0,0.312875777030506,0
"224917",0.0244395288043565,0,0.339762575435106,0,0.54518087789349,1
"289739",0.999435153484418,1,0.000564846515581652,0,0,0
"1219",0.0175950127215864,0,0.0113852124140469,0,0.0993193170260992,0
"417568",0,0,0,0,0.992634392724145,1
"286042",0,0,0,0,1,1
"254733",0.992796772954283,1,0.00467577895950017,0,0.00252744808621631,0
"74641",0.874435408819057,1,0.0250500628891984,0,0.0486372021056677,0
"225579",0.723048680129138,1,0,0,0,0
"265702",0.726918809979856,1,0.262245713622239,0,0.0100988276861904,0
